CellCLI> LIST GRIDDISK ATTRIBUTES name, asmmodestatus
	 BANKBU_DBFS01_01_CD_SC01_CEL03	 ONLINE
	 RECO00_CD_04_sc01_cel03       	 ONLINE
	 RECO00_CD_05_sc01_cel03       	 ONLINE
	 RECO00_CD_06_sc01_cel03       	 ONLINE
	 RECO00_CD_07_sc01_cel03       	 ONLINE
	 RECO00_CD_08_sc01_cel03       	 ONLINE
	 RECO00_CD_09_sc01_cel03       	 ONLINE
	 RECO00_CD_10_sc01_cel03       	 ONLINE
	 RECO00_CD_11_sc01_cel03       	 ONLINE
	 RECO01_CD_00_sc01_cel03       	 ONLINE
	 RECO01_CD_01_sc01_cel03       	 ONLINE
	 RECO01_CD_02_sc01_cel03       	 ONLINE
	 RECO01_CD_03_sc01_cel03       	 ONLINE
	 RECO01_CD_04_sc01_cel03       	 ONLINE
	 RECO01_CD_05_sc01_cel03       	 ONLINE
	 RECO01_CD_06_sc01_cel03       	 ONLINE
	 RECO01_CD_07_sc01_cel03       	 ONLINE
	 RECO01_CD_08_sc01_cel03       	 ONLINE
	 RECO01_CD_09_sc01_cel03       	 ONLINE
	 RECO01_CD_10_sc01_cel03       	 ONLINE
	 RECO01_CD_11_sc01_cel03       	 ONLINE
	 RECO02_CD_00_sc01_cel03       	 ONLINE
	 RECO02_CD_01_sc01_cel03       	 ONLINE
	 RECO02_CD_02_sc01_cel03       	 ONLINE
	 RECO02_CD_03_sc01_cel03       	 ONLINE
	 RECO02_CD_04_sc01_cel03       	 ONLINE
	 RECO02_CD_05_sc01_cel03       	 ONLINE
	 RECO02_CD_06_sc01_cel03       	 ONLINE
	 RECO02_CD_07_sc01_cel03       	 ONLINE
	 RECO02_CD_08_sc01_cel03       	 ONLINE
	 RECO02_CD_09_sc01_cel03       	 ONLINE
	 RECO02_CD_10_sc01_cel03       	 ONLINE
	 RECO02_CD_11_sc01_cel03       	 ONLINE
	 RECO03_CD_00_sc01_cel03       	 ONLINE
	 RECO03_CD_01_sc01_cel03       	 ONLINE
	 RECO03_CD_02_sc01_cel03       	 ONLINE
	 RECO03_CD_03_sc01_cel03       	 ONLINE
	 RECO03_CD_04_sc01_cel03       	 ONLINE
	 RECO03_CD_05_sc01_cel03       	 ONLINE
	 RECO03_CD_06_sc01_cel03       	 ONLINE
	 RECO03_CD_07_sc01_cel03       	 ONLINE
	 RECO03_CD_08_sc01_cel03       	 ONLINE
	 RECO06_CD_00_sc01_cel03       	 ONLINE
	 RECO06_CD_01_sc01_cel03       	 ONLINE
